experiment,method,seed,d,n,n_over_d,sigma_type,alpha,mu_direction,mu_norm_l2,mu_norm_sigma,mu_norm_sigma_inv,trace_sigma,sigma_op_norm,sigma_fro_norm,M_trace,M_mu,T,step,alignment_to_wstar,alignment_to_ls,alignment_to_svm,loss_value,min_margin,svm_primal_violation,svm_dual_feasibility_min_alpha,svm_kkt_complementarity,svm_primal_dual_gap,support_vector_fraction,solver_status,lambda_signal,lambda_bulk,bulk_rank,bulk_random_fraction,A_svm_wstar,A_ls_wstar,A_svm_ls,gram_condition_number,r_min,prop41_condition_empirical,solver_nit,solver_success,active_set_polished,active_set_polish_iterations,paired_seed
exact_mu_eigendirection_ablation,svm,3700000,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.99541248699065,0.9759241246328709,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,2.491666312931624e-18,0.0,0.12,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.99541248699065,0.9607645408208763,0.9759241246328709,194.61190511806905,-0.010254807392409778,False,28,True,True,1,3700000
exact_mu_eigendirection_ablation,svm,3700001,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9977642260286841,0.9786979794888153,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,1.7769629345836422e-18,0.0,0.16,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9977642260286841,0.970452964175173,0.9786979794888153,205.28550810875143,-0.012690672596283481,False,28,True,True,1,3700001
exact_mu_eigendirection_ablation,svm,3700002,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9949708865459992,0.9765801781612067,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,2.9905859798459566e-18,-1.3877787807814457e-17,0.15,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9949708865459992,0.9597353896490491,0.9765801781612067,196.8705933009511,-0.01307724774370575,False,26,True,True,1,3700002
exact_mu_eigendirection_ablation,svm,3700003,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.997568596279337,0.9793178518263294,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,7.029541248221472e-19,0.0,0.16,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.997568596279337,0.9732007934381551,0.9793178518263294,204.97180235707904,-0.014049250498318172,False,29,True,True,1,3700003
exact_mu_eigendirection_ablation,svm,3700004,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9984268494516189,0.9771429894433583,NA,NA,0.9999999999999999,1.1102230246251565e-16,0.0,8.349410771863122e-19,-1.3877787807814457e-17,0.15,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9984268494516189,0.9725204650644572,0.9771429894433583,196.9858340055316,-0.013561123730807246,False,30,True,True,1,3700004
exact_mu_eigendirection_ablation,svm,3700005,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9849898539634998,0.9761313724830095,NA,NA,0.9999999999999999,1.1102230246251565e-16,0.0,9.152479389613488e-19,0.0,0.13,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9849898539634998,0.9533887978285999,0.9761313724830095,195.7086300086829,-0.015183987246225718,False,33,True,True,1,3700005
exact_mu_eigendirection_ablation,svm,3700006,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9983490497752135,0.9820891589332393,NA,NA,1.0,0.0,0.0,4.1728099445026334e-18,1.3877787807814457e-17,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9983490497752135,0.9798267343225912,0.9820891589332393,189.9679668600976,-0.015057922943883632,False,27,True,True,1,3700006
exact_mu_eigendirection_ablation,svm,3700007,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9972151604786758,0.9805602950325344,NA,NA,0.9999999999999999,1.1102230246251565e-16,0.0,3.52016209992987e-18,-2.7755575615628914e-17,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9972151604786758,0.9744388412227853,0.9805602950325344,194.4023595054239,-0.012723628174796263,False,20,True,True,1,3700007
exact_mu_eigendirection_ablation,svm,3700008,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.997860604550744,0.9803631097475676,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,1.4241527178199114e-18,-1.3877787807814457e-17,0.18,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.997860604550744,0.9709429052402918,0.9803631097475676,200.6811280042872,-0.010177777085411658,False,29,True,True,1,3700008
exact_mu_eigendirection_ablation,svm,3700009,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9982820890939857,0.9795856355324571,NA,NA,0.9999999999999997,3.3306690738754696e-16,0.0,1.4742942858705841e-18,-1.3877787807814457e-17,0.17,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9982820890939857,0.9734345382923894,0.9795856355324571,203.96600576542906,-0.01315077336036719,False,30,True,True,1,3700009
exact_mu_eigendirection_ablation,svm,3700010,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9942476908700056,0.9786931424505165,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,5.39716141240947e-18,0.0,0.11,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9942476908700056,0.9721458366752771,0.9786931424505165,203.8185892553658,-0.013291892516237734,False,29,True,True,1,3700010
exact_mu_eigendirection_ablation,svm,3700011,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9968261542130503,0.9780189094395512,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,3.3266756709451434e-18,0.0,0.12,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9968261542130503,0.9692643358877014,0.9780189094395512,199.11081203706524,-0.011578713770022382,False,28,True,True,1,3700011
exact_mu_eigendirection_ablation,svm,3700012,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9968469430131135,0.9735241732474001,NA,NA,0.9999999999999999,1.1102230246251565e-16,0.0,2.6031964293260127e-18,1.3877787807814457e-17,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9968469430131135,0.9619984325543458,0.9735241732474001,198.245205326017,-0.012086750875162528,False,22,True,True,1,3700012
exact_mu_eigendirection_ablation,svm,3700013,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9972336342069819,0.9717331192575621,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,2.4407986668917268e-18,0.0,0.17,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9972336342069819,0.9597781013886112,0.9717331192575621,190.61076799650388,-0.011265323476647252,False,27,True,True,1,3700013
exact_mu_eigendirection_ablation,svm,3700014,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9975685923779068,0.9733660586951542,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,2.4444574833194587e-18,0.0,0.12,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9975685923779068,0.9632273613964716,0.9733660586951542,205.18611541168733,-0.013538564293028256,False,20,True,True,1,3700014
exact_mu_eigendirection_ablation,svm,3700015,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.995418361751453,0.9817298210775787,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,3.45272296594971e-18,-1.3877787807814457e-17,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.995418361751453,0.9757734579349601,0.9817298210775787,189.89717004320565,-0.01590375420882996,False,22,True,True,1,3700015
exact_mu_eigendirection_ablation,svm,3700016,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9973941200580791,0.976422832861664,NA,NA,0.9999999999999999,1.1102230246251565e-16,0.0,5.554008733975001e-19,0.0,0.17,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9973941200580791,0.9683165096172253,0.976422832861664,214.24423599255994,-0.015419641349849585,False,38,True,True,1,3700016
exact_mu_eigendirection_ablation,svm,3700017,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.995794506289817,0.9750957313130606,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,4.186665143245067e-18,1.3877787807814457e-17,0.12,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.995794506289817,0.9611483947661303,0.9750957313130606,197.519543500696,-0.01521497518138863,False,35,True,True,1,3700017
exact_mu_eigendirection_ablation,svm,3700018,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9979134048781888,0.9723680644572443,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,3.598266646687115e-18,0.0,0.15,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9979134048781888,0.9654409282314975,0.9723680644572443,196.63257632161907,-0.013665227922142448,False,28,True,True,1,3700018
exact_mu_eigendirection_ablation,svm,3700019,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9915089863471104,0.981075925244727,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,1.431255893659399e-18,1.3877787807814457e-17,0.15,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9915089863471104,0.9670372192442035,0.981075925244727,195.57683169422327,-0.010719690203849403,False,22,True,True,1,3700019
exact_mu_eigendirection_ablation,svm,3700020,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9968054597045765,0.973538624605957,NA,NA,0.9999999999999999,1.1102230246251565e-16,0.0,2.1279206011156512e-18,0.0,0.15,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9968054597045765,0.9626609830562688,0.973538624605957,200.51909524932512,-0.012396111280113831,False,36,True,True,1,3700020
exact_mu_eigendirection_ablation,svm,3700021,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9975245497960259,0.9778176103013297,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,1.7821051749169036e-18,-1.3877787807814457e-17,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9975245497960259,0.9701475161493851,0.9778176103013297,205.89506723329833,-0.010731606523440183,False,26,True,True,1,3700021
exact_mu_eigendirection_ablation,svm,3700022,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9964587474985225,0.9771745145718582,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,2.2272888474062845e-18,-1.3877787807814457e-17,0.16,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9964587474985225,0.9738079381144661,0.9771745145718582,203.7399582596316,-0.011364150179823961,False,21,True,True,1,3700022
exact_mu_eigendirection_ablation,svm,3700023,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9958454601439618,0.9717791107025523,NA,NA,0.9999999999999999,1.1102230246251565e-16,0.0,1.1437408523648649e-18,0.0,0.12,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9958454601439618,0.9593584319275112,0.9717791107025523,203.97281867268578,-0.013197929935176362,False,36,True,True,1,3700023
exact_mu_eigendirection_ablation,svm,3700024,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9967154662566661,0.9795545868447948,NA,NA,0.9999999999999999,1.1102230246251565e-16,0.0,1.6752682705535838e-18,0.0,0.15,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9967154662566661,0.9731983356242038,0.9795545868447948,202.7785695102806,-0.010061963841023473,False,34,True,True,1,3700024
exact_mu_eigendirection_ablation,svm,3700025,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9969522227221667,0.9759719307527525,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,2.433201037153075e-18,0.0,0.13,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9969522227221667,0.9661042741134198,0.9759719307527525,197.81704077203185,-0.016340453523551672,False,23,True,True,1,3700025
exact_mu_eigendirection_ablation,svm,3700026,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9952457444919828,0.9741432190015412,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,1.3409886613864413e-18,1.3877787807814457e-17,0.17,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9952457444919828,0.9601835113085733,0.9741432190015412,200.5156961092394,-0.015413936672214409,False,27,True,True,1,3700026
exact_mu_eigendirection_ablation,svm,3700027,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9961633218557774,0.981906393446682,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,4.10287419733646e-18,-1.3877787807814457e-17,0.12,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9961633218557774,0.9709882321216405,0.981906393446682,190.0574818471155,-0.009668330451905646,False,33,True,True,1,3700027
exact_mu_eigendirection_ablation,svm,3700028,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9975391405843094,0.9717412909889871,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,2.9065935542629553e-18,-1.3877787807814457e-17,0.15,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9975391405843094,0.9741558530939007,0.9717412909889871,196.65465750629238,-0.011224003844110517,False,21,True,True,1,3700028
exact_mu_eigendirection_ablation,svm,3700029,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9978902838511572,0.9818217341803033,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,3.658323228913695e-18,1.3877787807814457e-17,0.12,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9978902838511572,0.9768666926771357,0.9818217341803033,200.55334095832055,-0.011971892055752477,False,36,True,True,1,3700029
exact_mu_eigendirection_ablation,svm,3700030,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9974331094209125,0.9837574719125263,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,1.065107039426225e-18,0.0,0.13,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9974331094209125,0.9772378751480363,0.9837574719125263,205.73410785326274,-0.016690080355651525,False,35,True,True,1,3700030
exact_mu_eigendirection_ablation,svm,3700031,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9981308283395679,0.9784713981075304,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,3.0702734733642105e-18,0.0,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9981308283395679,0.9725677678209563,0.9784713981075304,197.52895097504674,-0.014042018547530493,False,32,True,True,1,3700031
exact_mu_eigendirection_ablation,svm,3700032,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9983080864400565,0.9787373685143093,NA,NA,0.9999999999999997,3.3306690738754696e-16,0.0,1.9873025763316092e-18,-1.3877787807814457e-17,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9983080864400565,0.972037779121138,0.9787373685143093,207.25069015520708,-0.013203237609365492,False,32,True,True,1,3700032
exact_mu_eigendirection_ablation,svm,3700033,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9955286335985964,0.9816904707670183,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,1.7096214349005558e-18,0.0,0.14,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9955286335985964,0.9726646508162415,0.9816904707670183,209.3140902514893,-0.008611826752650887,False,31,True,True,1,3700033
exact_mu_eigendirection_ablation,svm,3700034,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9976247690448146,0.9752389869676155,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,3.165322795929086e-18,-1.3877787807814457e-17,0.15,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9976247690448146,0.9654113232659269,0.9752389869676155,204.44350023098193,-0.01085824255629486,False,33,True,True,1,3700034
exact_mu_eigendirection_ablation,svm,3700035,20000,100,0.005,polynomial,0.8,largest_eigenvector,6.293961408377439,6.293961408377439,6.293961408377439,31.801625961697173,1.0,1.5104264910950733,0.0235452012780011,6.293961408377439,38.61688021465653,NA,0.9976632617988923,0.9824173062506497,NA,NA,0.9999999999999998,2.220446049250313e-16,0.0,2.588449545380308e-18,1.3877787807814457e-17,0.16,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.9976632617988923,0.9752163953036506,0.9824173062506497,200.17145714467816,-0.012539076664026474,False,34,True,True,1,3700035
